step,mean_reward,success_rate,total_episodes,fps
1001,7.538676548259599,0.0,700,295.2258064516129
2001,7.516445080573995,0.0,1410,302.1660134114619
3001,7.506557242236926,0.0,2126,297.73486792595935
4001,7.502313815198028,0.0,2832,296.3991874867371
5001,7.510636531442699,0.0,3540,295.5226191487009
6001,7.509933631364155,0.0,4251,294.7699334631798
7001,7.497033248511008,0.0,4976,293.93504432393644
8001,7.5010165947383145,0.0,5669,292.8955396448298
9001,7.499778152520262,0.0,6367,292.2595339240868
10001,7.5008623761947995,0.0,7073,292.25732476726085
11001,7.495466890592998,0.0,7776,292.3436184708439
12001,7.488298265089843,0.0,8498,292.4013208415385
13001,7.487509709981371,0.0,9216,292.48593894382867
14001,7.491998735862276,0.0,9910,292.4782956035218
15001,7.493194102371429,0.0,10612,292.3793953146147
16001,7.493318730914906,0.0,11320,292.35566253216507
17001,7.493655733008707,0.0,12027,292.30676631908614
18001,7.489227584057645,0.0,12748,292.28378150632767
19001,7.48767915009331,0.0,13463,292.3260282117487
20001,7.488115134746207,0.0,14167,292.39798668541505
